t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
1.7999999999999999e-01,1.4981615347980317e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4981615347980317e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.3298792903779133e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.3298792903779133e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.2744983878668392e-03,3.2763581010116966e-01,3.3291030848903652e-01
1.9000000000000000e-01,1.4863773277795609e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4863773277795609e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7181739495963000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7181739495963000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8861948131635231e-02,2.9395706462633814e-01,3.3281901275797338e-01
2.0000000000000001e-01,1.4637980558061057e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4637980558061057e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7780618271156330e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7780618271156330e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0159541798606236e-01,2.3083648196584486e-01,3.3243189995190725e-01
2.0999999999999999e-01,1.4308160912372481e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4308160912372481e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7637010449230091e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7637010449230091e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8647497036188737e-01,1.4475921998629099e-01,3.3123419034817836e-01
2.2000000000000000e-01,1.3885240349076453e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3885240349076453e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.5625196519350153e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5625196519350153e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7403106826243812e-01,5.4314671689416595e-02,3.2834573995185473e-01
2.3000000000000001e-01,1.3395656981985478e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3395656981985478e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9477092508861036e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9477092508861036e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2225424642866657e-01,1.1236000732418503e-03,3.2337784650190843e-01
2.3999999999999999e-01,1.2895698498899233e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2895698498899233e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.5477726917860313e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5477726917860313e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7226248655953578e-01,4.7954630285049267e-02,3.2021711684458504e-01
2.5000000000000000e-01,1.2486102443628271e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2486102443628271e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9891985391433025e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9891985391433025e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1762505249049450e-01,2.1136184252764009e-01,3.2898689501813461e-01
2.6000000000000001e-01,1.2297858791070573e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2297858791070573e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7588964951991155e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.7588964951991155e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8599918527247555e-03,3.4033095376997163e-01,3.4219094562269636e-01
2.7000000000000002e-01,1.2410924513724289e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2410924513724289e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3885913431931303e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3885913431931303e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5105893232019411e-02,2.5814520142599262e-01,3.3325109465801206e-01
2.8000000000000003e-01,1.2775577059709198e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2775577059709198e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2637496661185370e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.2637496661185370e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3931708505213398e-01,8.1676210121072179e-02,3.2099329517320618e-01
2.8999999999999998e-01,1.3263674446947995e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3263674446947995e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9369273954795325e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9369273954795325e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2085128891155790e-01,1.1876383893771290e-03,3.2203892730093503e-01
2.9999999999999999e-01,1.3762962538805104e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3762962538805104e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7147926561784370e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7147926561784370e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9262774750998621e-01,3.4593769769937117e-02,3.2722151727992332e-01
3.1000000000000000e-01,1.4206632978183684e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4206632978183684e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9956877667083424e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.9956877667083424e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1017129274759730e-01,1.2051532003857784e-01,3.3068661278617517e-01
3.2000000000000001e-01,1.4562100092146772e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4562100092146772e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0440998876133412e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.0440998876133412e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2198547051928431e-01,2.1024322772743487e-01,3.3222869824671919e-01
3.3000000000000002e-01,1.4815452955706352e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4815452955706352e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9969530603182313e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9969530603182313e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.2495976761747769e-02,2.8026500460063331e-01,3.3276098136238108e-01
